NSE:360ONE-EQ
NSE:DEEPAKFERT-EQ
NSE:DEEPAKNTR-EQ
NSE:DELHIVERY-EQ
NSE:DEVYANI-EQ
NSE:DIVISLAB-EQ
NSE:DIXON-EQ
NSE:AGARWALEYE-EQ
NSE:LALPATHLAB-EQ
NSE:DRREDDY-EQ
NSE:DUMMYSKFIN-EQ
NSE:DUMMYTATAM-EQ
NSE:DUMMYDBRLT-BE
NSE:EIDPARRY-EQ
NSE:EIHOTEL-EQ
NSE:EICHERMOT-EQ
NSE:ELECON-EQ
NSE:ELGIEQUIP-EQ
NSE:EMAMILTD-EQ
NSE:EMCURE-EQ
NSE:ENDURANCE-EQ
NSE:ENGINERSIN-EQ
NSE:ERIS-EQ
NSE:ESCORTS-EQ
NSE:ETERNAL-EQ
NSE:EXIDEIND-EQ
NSE:NYKAA-EQ
NSE:FEDERALBNK-EQ
NSE:FACT-EQ
NSE:FINCABLES-EQ
NSE:FINPIPE-EQ
NSE:FSL-EQ
NSE:FIVESTAR-EQ
NSE:FORCEMOT-EQ
NSE:FORTIS-EQ
NSE:GAIL-EQ
NSE:GVT&D-EQ
NSE:GMRAIRPORT-EQ
NSE:GRSE-EQ
NSE:GICRE-EQ
NSE:GILLETTE-EQ
NSE:GLAND-EQ
NSE:GLAXO-EQ
NSE:GLENMARK-EQ
NSE:MEDANTA-EQ
NSE:GODIGIT-EQ
NSE:GPIL-EQ
NSE:GODFRYPHLP-EQ
NSE:GODREJAGRO-EQ
NSE:GODREJCP-EQ
NSE:GODREJIND-EQ
NSE:GODREJPROP-EQ
NSE:GRANULES-EQ
NSE:GRAPHITE-EQ
NSE:GRASIM-EQ
NSE:GRAVITA-EQ
NSE:GESHIP-EQ
NSE:FLUOROCHEM-EQ
NSE:GUJGASLTD-EQ
NSE:GMDCLTD-EQ
NSE:GSPL-EQ
NSE:HEG-EQ
NSE:HBLENGINE-EQ
NSE:HCLTECH-EQ
NSE:HDFCAMC-EQ
NSE:HDFCBANK-EQ
NSE:HDFCLIFE-EQ
NSE:HFCL-EQ
NSE:HAPPSTMNDS-EQ
NSE:HAVELLS-EQ
NSE:HEROMOTOCO-EQ
NSE:HEXT-EQ
NSE:HSCL-EQ
NSE:HINDALCO-EQ
NSE:HAL-EQ
NSE:HINDCOPPER-EQ
NSE:HINDPETRO-EQ
NSE:HINDUNILVR-EQ
NSE:HINDZINC-EQ
NSE:POWERINDIA-EQ
NSE:HOMEFIRST-EQ
NSE:HONASA-EQ
NSE:HONAUT-EQ
NSE:HUDCO-EQ
NSE:HYUNDAI-EQ
NSE:ICICIBANK-EQ
NSE:ICICIGI-EQ
NSE:ICICIPRULI-EQ
NSE:IDBI-EQ
NSE:IDFCFIRSTB-EQ
NSE:IFCI-EQ
NSE:IIFL-EQ
NSE:INOXINDIA-EQ
NSE:IRB-EQ
NSE:IRCON-EQ
NSE:ITCHOTELS-EQ
NSE:ITC-EQ
NSE:ITI-EQ
NSE:INDGN-EQ
NSE:INDIACEM-EQ
NSE:INDIAMART-EQ
NSE:INDIANB-EQ
NSE:IEX-EQ
NSE:INDHOTEL-EQ
NSE:IOC-EQ
NSE:IOB-EQ
NSE:IRCTC-EQ
NSE:IRFC-EQ
NSE:IREDA-EQ
NSE:IGL-EQ
NSE:INDUSTOWER-EQ
NSE:INDUSINDBK-EQ
NSE:NAUKRI-EQ
NSE:INFY-EQ
NSE:INOXWIND-EQ
NSE:INTELLECT-EQ
NSE:INDIGO-EQ
NSE:IGIL-EQ
NSE:IKS-EQ
NSE:IPCALAB-EQ
NSE:JBCHEPHARM-EQ
NSE:JKCEMENT-EQ
NSE:JBMA-EQ
NSE:JKTYRE-EQ
NSE:JMFINANCIL-EQ
NSE:JSWENERGY-EQ
NSE:JSWINFRA-EQ
NSE:JSWSTEEL-EQ
NSE:JPPOWER-EQ
NSE:J&KBANK-EQ
NSE:JINDALSAW-EQ
NSE:JSL-EQ
NSE:JINDALSTEL-EQ
NSE:JIOFIN-EQ
NSE:JUBLFOOD-EQ
NSE:JUBLINGREA-EQ
NSE:JUBLPHARMA-EQ
NSE:JWL-EQ
NSE:JYOTHYLAB-EQ
NSE:JYOTICNC-EQ
NSE:KPRMILL-EQ
NSE:KEI-EQ
NSE:KPITTECH-EQ
NSE:KSB-EQ
NSE:KAJARIACER-EQ
NSE:KPIL-EQ
NSE:KALYANKJIL-EQ
NSE:KARURVYSYA-EQ
NSE:KAYNES-EQ
NSE:KEC-EQ
NSE:KFINTECH-EQ
NSE:KIRLOSBROS-EQ
NSE:KIRLOSENG-EQ
NSE:KOTAKBANK-EQ
NSE:KIMS-EQ
NSE:LTF-EQ
NSE:LTTS-EQ
NSE:LICHSGFIN-EQ
NSE:LTFOODS-EQ
NSE:LTIM-EQ
NSE:LT-EQ
NSE:LATENTVIEW-EQ
NSE:LAURUSLABS-EQ
NSE:THELEELA-EQ
NSE:LEMONTREE-EQ
NSE:LICI-EQ
NSE:LINDEINDIA-EQ
NSE:LLOYDSME-EQ
NSE:LODHA-EQ
NSE:LUPIN-EQ
NSE:MMTC-EQ
NSE:MRF-EQ
NSE:MGL-EQ
NSE:MAHSCOOTER-EQ
NSE:MAHSEAMLES-EQ
NSE:M&MFIN-EQ
NSE:M&M-EQ
NSE:MANAPPURAM-EQ
NSE:MRPL-EQ
NSE:MANKIND-EQ
NSE:MARICO-EQ
NSE:MARUTI-EQ
NSE:MFSL-EQ
NSE:MAXHEALTH-EQ
NSE:MAZDOCK-EQ
NSE:METROPOLIS-EQ
NSE:MINDACORP-EQ
NSE:MSUMI-EQ
NSE:MOTILALOFS-EQ
NSE:MPHASIS-EQ
NSE:MCX-EQ
NSE:MUTHOOTFIN-EQ
NSE:NATCOPHARM-EQ
NSE:NBCC-EQ
NSE:NCC-EQ
NSE:NHPC-EQ
NSE:NLCINDIA-EQ
NSE:NMDC-EQ
NSE:NSLNISP-EQ
NSE:NTPCGREEN-EQ
NSE:NTPC-EQ
NSE:NH-EQ
NSE:NATIONALUM-EQ
NSE:NAVA-EQ
NSE:NAVINFLUOR-EQ
NSE:NESTLEIND-EQ
NSE:NETWEB-EQ
NSE:NEULANDLAB-EQ
NSE:NEWGEN-EQ
NSE:NAM-INDIA-EQ
NSE:NIVABUPA-EQ
NSE:NUVAMA-EQ
NSE:NUVOCO-EQ
NSE:OBEROIRLTY-EQ
NSE:ONGC-EQ
NSE:OIL-EQ
NSE:OLAELEC-BE
NSE:OLECTRA-EQ
NSE:PAYTM-EQ
NSE:ONESOURCE-EQ
NSE:OFSS-EQ
NSE:POLICYBZR-EQ
NSE:PCBL-EQ
NSE:PGEL-EQ
NSE:PIIND-EQ
NSE:PNBHOUSING-EQ
NSE:PTCIL-EQ
NSE:PVRINOX-EQ
NSE:PAGEIND-EQ
NSE:PATANJALI-EQ
NSE:PERSISTENT-EQ
NSE:PETRONET-EQ
NSE:PFIZER-EQ
NSE:PHOENIXLTD-EQ
NSE:PIDILITIND-EQ
NSE:PPLPHARMA-EQ
NSE:POLYMED-EQ
NSE:POLYCAB-EQ
NSE:POONAWALLA-EQ
NSE:PFC-EQ
NSE:POWERGRID-EQ
NSE:PRAJIND-EQ
NSE:PREMIERENE-EQ
NSE:PRESTIGE-EQ
NSE:PGHH-EQ
NSE:PNB-EQ
NSE:RRKABEL-EQ
NSE:RBLBANK-EQ
NSE:RECLTD-EQ
NSE:RHIM-EQ
NSE:RITES-EQ
NSE:RADICO-EQ
NSE:RVNL-EQ
NSE:RAILTEL-EQ
NSE:RAINBOW-EQ
NSE:RKFORGE-EQ
NSE:RCF-EQ
NSE:REDINGTON-EQ
NSE:RELIANCE-EQ
NSE:RELINFRA-BE
NSE:RPOWER-EQ
NSE:SBFC-EQ
NSE:SBICARD-EQ
NSE:SBILIFE-EQ
NSE:SJVN-EQ
NSE:SKFINDIA-BE
NSE:SRF-EQ
NSE:SAGILITY-EQ
NSE:SAILIFE-EQ
NSE:SAMMAANCAP-EQ
NSE:MOTHERSON-EQ
NSE:SAPPHIRE-EQ
NSE:SARDAEN-EQ
NSE:SAREGAMA-EQ
NSE:SCHAEFFLER-EQ
NSE:SCHNEIDER-EQ
NSE:SCI-EQ
NSE:SHREECEM-EQ
NSE:SHRIRAMFIN-EQ
NSE:SHYAMMETL-EQ
NSE:ENRIN-EQ
NSE:SIEMENS-EQ
NSE:SIGNATURE-EQ
NSE:SOBHA-EQ
NSE:SOLARINDS-EQ
NSE:SONACOMS-EQ
NSE:SONATSOFTW-EQ
NSE:STARHEALTH-EQ
NSE:SBIN-EQ
NSE:SAIL-EQ
NSE:SUMICHEM-EQ
NSE:SUNPHARMA-EQ
NSE:SUNTV-EQ
NSE:SUNDARMFIN-EQ
NSE:SUNDRMFAST-EQ
NSE:SUPREMEIND-EQ
NSE:SUZLON-EQ
NSE:SWANCORP-EQ
NSE:SWIGGY-EQ
NSE:SYNGENE-EQ
NSE:SYRMA-EQ
NSE:TBOTEK-EQ
NSE:TVSMOTOR-EQ
NSE:TATACHEM-EQ
NSE:TATACOMM-EQ
NSE:TCS-EQ
NSE:TATACONSUM-EQ
NSE:TATAELXSI-EQ
NSE:TATAINVEST-EQ
NSE:TMPV-EQ
NSE:TATAPOWER-EQ
NSE:TATASTEEL-EQ
NSE:TATATECH-EQ
NSE:TTML-EQ
NSE:TECHM-EQ
NSE:TECHNOE-EQ
NSE:TEJASNET-EQ
NSE:NIACL-EQ
NSE:RAMCOCEM-EQ
NSE:THERMAX-EQ
NSE:TIMKEN-EQ
NSE:TITAGARH-EQ
NSE:TITAN-EQ
NSE:TORNTPHARM-EQ
NSE:TORNTPOWER-EQ
NSE:TARIL-EQ
NSE:TRENT-EQ
NSE:TRIDENT-EQ
NSE:TRIVENI-EQ
NSE:TRITURBINE-EQ
NSE:TIINDIA-EQ
NSE:UCOBANK-EQ
NSE:UNOMINDA-EQ
NSE:UPL-EQ
NSE:UTIAMC-EQ
NSE:ULTRACEMCO-EQ
NSE:UNIONBANK-EQ
NSE:UBL-EQ
NSE:UNITDSPR-EQ
NSE:USHAMART-EQ
NSE:VGUARD-EQ
NSE:DBREALTY-EQ
NSE:VTL-EQ
NSE:VBL-EQ
NSE:MANYAVAR-EQ
NSE:VEDL-EQ
NSE:VENTIVE-EQ
NSE:VIJAYA-EQ
NSE:VMM-EQ
NSE:IDEA-EQ
NSE:VOLTAS-EQ
NSE:WAAREEENER-EQ
NSE:WELCORP-EQ
NSE:WELSPUNLIV-EQ
NSE:WHIRLPOOL-EQ
NSE:WIPRO-EQ
NSE:WOCKPHARMA-EQ
NSE:YESBANK-EQ
NSE:ZFCVINDIA-EQ
NSE:ZEEL-EQ
NSE:ZENTEC-EQ
NSE:ZENSARTECH-EQ
NSE:ZYDUSLIFE-EQ
NSE:ECLERX-EQ
